N_Instances	Dim	Eps	minPts	maximoInstanciaCluster	nClusters	Metric
10000	150	9.786000000000001	2	9.223372036854776e+18	10000.0	-1.0
10000   150 7.416               2   -9.223372036854776e+18  2.0  0.013971701264381409
10000   150 7.2219999999999995               2   -9.223372036854776e+18  2.0  0.00978851318359375
